AdGroupId,CampaignId,AdvertiserId,AdGroupName,BaseBidCPM,Channel,DailyBudget,Status,KoaEnabled,PredictiveClearingEnabled
ag_holiday_prom_prospecting_display,cmp_holiday_promo_2024,adv_retail_brand_001,Prospecting Display,4.35,Display,3909.98,Active,True,True
ag_holiday_prom_performance_display,cmp_holiday_promo_2024,adv_retail_brand_001,Performance Display,4.07,Display,4374.55,Active,False,False
ag_holiday_prom_retargeting_native,cmp_holiday_promo_2024,adv_retail_brand_001,Retargeting Native,5.46,Native,4685.65,Active,False,True
ag_holiday_prom_awareness_ctv,cmp_holiday_promo_2024,adv_retail_brand_001,Awareness CTV,27.16,CTV,9892.6,Active,True,False
ag_brand_awaren_awareness_ctv,cmp_brand_awareness_q4,adv_retail_brand_001,Awareness CTV,33.7,CTV,15405.43,Active,True,False
ag_brand_awaren_retargeting_native,cmp_brand_awareness_q4,adv_retail_brand_001,Retargeting Native,7.29,Native,4779.26,Active,True,True
ag_retail_clear_retargeting_display,cmp_retail_clearance,adv_retail_brand_001,Retargeting Display,6.14,Display,6965.93,Active,True,True
ag_retail_clear_performance_display,cmp_retail_clearance,adv_retail_brand_001,Performance Display,4.93,Display,4338.03,Active,True,True
ag_shopsmart_bl_retargeting_native,cmp_shopsmart_blackfriday,adv_retail_brand_002,Retargeting Native,5.94,Native,5966.47,Active,True,True
ag_shopsmart_bl_awareness_video,cmp_shopsmart_blackfriday,adv_retail_brand_002,Awareness Video,10.97,Video,5805.44,Active,False,False
ag_shopsmart_bl_prospecting_native,cmp_shopsmart_blackfriday,adv_retail_brand_002,Prospecting Native,7.43,Native,3806.97,Active,True,True
ag_shopsmart_bl_performance_video,cmp_shopsmart_blackfriday,adv_retail_brand_002,Performance Video,10.46,Video,6493.63,Active,True,True
ag_shopsmart_lo_performance_display,cmp_shopsmart_loyalty,adv_retail_brand_002,Performance Display,5.27,Display,3863.64,Paused,False,True
ag_shopsmart_lo_retargeting_native,cmp_shopsmart_loyalty,adv_retail_brand_002,Retargeting Native,6.59,Native,4031.26,Active,True,False
ag_shopsmart_lo_prospecting_native,cmp_shopsmart_loyalty,adv_retail_brand_002,Prospecting Native,7.38,Native,2836.74,Active,True,True
ag_megamart_gro_awareness_ctv,cmp_megamart_grocery,adv_retail_brand_003,Awareness CTV,24.61,CTV,8431.16,Active,True,True
ag_megamart_gro_prospecting_display,cmp_megamart_grocery,adv_retail_brand_003,Prospecting Display,5.27,Display,3925.64,Active,True,True
ag_megamart_gro_retargeting_display,cmp_megamart_grocery,adv_retail_brand_003,Retargeting Display,4.38,Display,6550.04,Active,True,True
ag_new_model_la_awareness_video,cmp_new_model_launch,adv_auto_brand_001,Awareness Video,10.27,Video,7923.08,Active,True,False
ag_new_model_la_retargeting_display,cmp_new_model_launch,adv_auto_brand_001,Retargeting Display,6.2,Display,7287.8,Paused,True,False
ag_auto_yearend_retargeting_native,cmp_auto_yearend_sale,adv_auto_brand_001,Retargeting Native,6.38,Native,4741.1,Active,True,True
ag_auto_yearend_prospecting_native,cmp_auto_yearend_sale,adv_auto_brand_001,Prospecting Native,5.4,Native,3797.49,Active,True,True
ag_auto_yearend_performance_video,cmp_auto_yearend_sale,adv_auto_brand_001,Performance Video,10.33,Video,7038.06,Active,True,False
ag_auto_yearend_awareness_video,cmp_auto_yearend_sale,adv_auto_brand_001,Awareness Video,9.64,Video,10130.18,Paused,False,False
ag_speed_perfor_prospecting_video,cmp_speed_performance,adv_auto_brand_002,Prospecting Video,13.61,Video,6971.12,Active,True,True
ag_speed_perfor_awareness_ctv,cmp_speed_performance,adv_auto_brand_002,Awareness CTV,25.8,CTV,12940.54,Active,False,True
ag_speed_perfor_performance_video,cmp_speed_performance,adv_auto_brand_002,Performance Video,12.14,Video,8588.96,Active,True,True
ag_electra_ev_a_prospecting_native,cmp_electra_ev_awareness,adv_auto_brand_003,Prospecting Native,5.82,Native,5557.35,Active,False,True
ag_electra_ev_a_retargeting_native,cmp_electra_ev_awareness,adv_auto_brand_003,Retargeting Native,5.35,Native,4280.41,Active,False,True
ag_electra_test_prospecting_display,cmp_electra_test_drive,adv_auto_brand_003,Prospecting Display,4.42,Display,5442.56,Active,True,False
ag_electra_test_performance_video,cmp_electra_test_drive,adv_auto_brand_003,Performance Video,9.61,Video,8098.7,Active,True,False
ag_electra_test_awareness_ctv,cmp_electra_test_drive,adv_auto_brand_003,Awareness CTV,24.57,CTV,11248.4,Active,True,True
ag_electra_test_retargeting_native,cmp_electra_test_drive,adv_auto_brand_003,Retargeting Native,4.97,Native,4669.37,Active,True,False
ag_winter_getaw_prospecting_native,cmp_winter_getaway,adv_travel_brand_001,Prospecting Native,7.39,Native,4092.08,Active,True,True
ag_winter_getaw_performance_display,cmp_winter_getaway,adv_travel_brand_001,Performance Display,5.55,Display,5176.9,Active,True,True
ag_winter_getaw_awareness_video,cmp_winter_getaway,adv_travel_brand_001,Awareness Video,13.62,Video,7610.78,Active,False,True
ag_winter_getaw_retargeting_native,cmp_winter_getaway,adv_travel_brand_001,Retargeting Native,5.75,Native,5205.97,Paused,True,True
ag_travel_newye_prospecting_display,cmp_travel_newyear,adv_travel_brand_001,Prospecting Display,5.26,Display,4029.83,Active,False,False
ag_travel_newye_awareness_ctv,cmp_travel_newyear,adv_travel_brand_001,Awareness CTV,24.61,CTV,16403.95,Active,True,True
ag_vacation_cru_prospecting_display,cmp_vacation_cruise,adv_travel_brand_002,Prospecting Display,4.66,Display,7058.85,Active,False,False
ag_vacation_cru_awareness_video,cmp_vacation_cruise,adv_travel_brand_002,Awareness Video,13.91,Video,6903.02,Active,False,True
ag_vacation_cru_retargeting_display,cmp_vacation_cruise,adv_travel_brand_002,Retargeting Display,4.23,Display,5194.3,Active,False,True
ag_vacation_cru_performance_video,cmp_vacation_cruise,adv_travel_brand_002,Performance Video,10.57,Video,8427.75,Active,True,False
ag_flight_holid_retargeting_display,cmp_flight_holiday,adv_travel_brand_003,Retargeting Display,5.07,Display,3667.32,Active,True,True
ag_flight_holid_awareness_video,cmp_flight_holiday,adv_travel_brand_003,Awareness Video,14.99,Video,6944.49,Active,False,True
ag_flight_holid_prospecting_video,cmp_flight_holiday,adv_travel_brand_003,Prospecting Video,15.44,Video,10396.66,Active,False,False
ag_flight_holid_performance_display,cmp_flight_holiday,adv_travel_brand_003,Performance Display,6.2,Display,3599.15,Active,True,True
ag_bank_savings_retargeting_native,cmp_bank_savings,adv_finance_brand_001,Retargeting Native,7.42,Native,5547.5,Active,True,True
ag_bank_savings_performance_video,cmp_bank_savings,adv_finance_brand_001,Performance Video,14.52,Video,11176.47,Active,True,False
ag_bank_savings_prospecting_video,cmp_bank_savings,adv_finance_brand_001,Prospecting Video,14.79,Video,11788.09,Active,True,False
ag_bank_savings_awareness_ctv,cmp_bank_savings,adv_finance_brand_001,Awareness CTV,35.55,CTV,9507.28,Active,False,True
ag_bank_mortgag_prospecting_video,cmp_bank_mortgage,adv_finance_brand_001,Prospecting Video,13.97,Video,7607.53,Active,True,False
ag_bank_mortgag_performance_display,cmp_bank_mortgage,adv_finance_brand_001,Performance Display,4.64,Display,6335.14,Paused,True,True
ag_bank_mortgag_retargeting_display,cmp_bank_mortgage,adv_finance_brand_001,Retargeting Display,4.91,Display,3779.9,Active,True,False
ag_invest_retir_awareness_ctv,cmp_invest_retirement,adv_finance_brand_002,Awareness CTV,31.74,CTV,11531.36,Active,True,False
ag_invest_retir_performance_video,cmp_invest_retirement,adv_finance_brand_002,Performance Video,13.66,Video,11377.96,Active,True,True
ag_credit_rewar_awareness_video,cmp_credit_rewards,adv_finance_brand_003,Awareness Video,12.18,Video,9311.9,Active,True,True
ag_credit_rewar_retargeting_display,cmp_credit_rewards,adv_finance_brand_003,Retargeting Display,5.28,Display,6674.94,Active,True,True
ag_tech_product_awareness_ctv,cmp_tech_product_launch,adv_tech_brand_001,Awareness CTV,25.54,CTV,10311.65,Paused,False,True
ag_tech_product_prospecting_display,cmp_tech_product_launch,adv_tech_brand_001,Prospecting Display,5.14,Display,7044.55,Active,True,False
ag_tech_product_performance_video,cmp_tech_product_launch,adv_tech_brand_001,Performance Video,11.06,Video,9798.77,Paused,True,True
ag_tech_holiday_performance_display,cmp_tech_holiday_bundle,adv_tech_brand_001,Performance Display,6.01,Display,6283.65,Active,True,True
ag_tech_holiday_prospecting_display,cmp_tech_holiday_bundle,adv_tech_brand_001,Prospecting Display,5.14,Display,6705.67,Active,True,True
ag_cloud_enterp_performance_display,cmp_cloud_enterprise,adv_tech_brand_002,Performance Display,5.86,Display,5398.7,Active,False,True
ag_cloud_enterp_awareness_ctv,cmp_cloud_enterprise,adv_tech_brand_002,Awareness CTV,31.17,CTV,11036.14,Paused,False,False
ag_cloud_enterp_retargeting_native,cmp_cloud_enterprise,adv_tech_brand_002,Retargeting Native,7.48,Native,3057.85,Active,True,False
ag_app_install_prospecting_video,cmp_app_install,adv_tech_brand_003,Prospecting Video,11.59,Video,8581.92,Paused,True,False
ag_app_install_retargeting_display,cmp_app_install,adv_tech_brand_003,Retargeting Display,6.14,Display,6562.38,Active,False,False
ag_health_enrol_performance_video,cmp_health_enrollment,adv_health_brand_001,Performance Video,10.92,Video,8389.35,Paused,True,True
ag_health_enrol_awareness_ctv,cmp_health_enrollment,adv_health_brand_001,Awareness CTV,32.54,CTV,16468.85,Active,True,True
ag_health_enrol_prospecting_video,cmp_health_enrollment,adv_health_brand_001,Prospecting Video,13.15,Video,9843.2,Paused,True,True
ag_wellness_new_prospecting_video,cmp_wellness_newyear,adv_health_brand_002,Prospecting Video,11.56,Video,8510.08,Active,True,False
ag_wellness_new_retargeting_native,cmp_wellness_newyear,adv_health_brand_002,Retargeting Native,5.56,Native,3062.1,Paused,True,True
ag_stream_holid_retargeting_display,cmp_stream_holiday,adv_ent_brand_001,Retargeting Display,5.89,Display,7298.45,Active,False,False
